sentence,word,label
Funny horhy ho ap,ap,URD
Is se accuracy thik ho jay gi,Is,URD
Is se accuracy thik ho jay gi,se,URD
Is se accuracy thik ho jay gi,accuracy,ENG
Is se accuracy thik ho jay gi,thik,URD
Is se accuracy thik ho jay gi,ho,URD
Is se accuracy thik ho jay gi,jay,URD
Is se accuracy thik ho jay gi,gi,URD
Tickets bht expensive hain,Tickets,ENG
Tickets bht expensive hain,bht,URD
Tickets bht expensive hain,expensive,ENG
Tickets bht expensive hain,hain,URD
Travelling for fun ya kaam k liye,Travelling,ENG
Travelling for fun ya kaam k liye,for,ENG
Travelling for fun ya kaam k liye,fun,ENG
Travelling for fun ya kaam k liye,ya,URD
Travelling for fun ya kaam k liye,kaam,URD
Travelling for fun ya kaam k liye,k,URD
Travelling for fun ya kaam k liye,liye,URD
Mujhe Friday ko bhej rhe the,Mujhe,URD
Mujhe Friday ko bhej rhe the,Friday,ENG
Mujhe Friday ko bhej rhe the,ko,URD
Mujhe Friday ko bhej rhe the,bhej,URD
Mujhe Friday ko bhej rhe the,rhe,URD
Mujhe Friday ko bhej rhe the,the,URD
Area manager aye thi meri shift 7 tak thi,Area,ENG
Area manager aye thi meri shift 7 tak thi,manager,ENG
Area manager aye thi meri shift 7 tak thi,aye,URD
Area manager aye thi meri shift 7 tak thi,thi,URD
Area manager aye thi meri shift 7 tak thi,meri,URD
Area manager aye thi meri shift 7 tak thi,shift,ENG
Area manager aye thi meri shift 7 tak thi,7,ENG
Area manager aye thi meri shift 7 tak thi,tak,URD
Area manager aye thi meri shift 7 tak thi,thi,URD
Dusre store gai thi,Dusre,URD
Dusre store gai thi,store,ENG
Dusre store gai thi,gai,URD
Dusre store gai thi,thi,URD
Aj mera driving test tha,Aj,URD
Aj mera driving test tha,mera,URD
Aj mera driving test tha,driving,ENG
Aj mera driving test tha,test,ENG
Aj mera driving test tha,tha,URD
Mai British Columbia hon,Mai,URD
Mai British Columbia hon,British,ENG
Mai British Columbia hon,Columbia,ENG
Mai British Columbia hon,hon,URD
Final year project ka idea k baray mai puchna tha,Final,ENG
Final year project ka idea k baray mai puchna tha,year,ENG
Final year project ka idea k baray mai puchna tha,project,ENG
Final year project ka idea k baray mai puchna tha,ka,URD
Final year project ka idea k baray mai puchna tha,idea,ENG
Final year project ka idea k baray mai puchna tha,k,URD
Final year project ka idea k baray mai puchna tha,baray,URD
Final year project ka idea k baray mai puchna tha,mai,URD
Final year project ka idea k baray mai puchna tha,puchna,URD
Final year project ka idea k baray mai puchna tha,tha,URD
EAT AND READ HOTEL mai rukna hai,EAT,ENG
EAT AND READ HOTEL mai rukna hai,AND,ENG
EAT AND READ HOTEL mai rukna hai,READ,ENG
EAT AND READ HOTEL mai rukna hai,HOTEL,ENG
EAT AND READ HOTEL mai rukna hai,mai,URD
EAT AND READ HOTEL mai rukna hai,rukna,URD
EAT AND READ HOTEL mai rukna hai,hai,URD
Sun drama yaad agaya,Sun,ENG
Sun drama yaad agaya,drama,ENG
Sun drama yaad agaya,yaad,URD
Sun drama yaad agaya,agaya,URD
Candles kyu jalai,Candles,ENG
Candles kyu jalai,kyu,URD
Candles kyu jalai,jalai,URD
Bakwas movie,Bakwas,URD
Bakwas movie,movie,ENG
Director ne film Banai,Director,ENG
Director ne film Banai,ne,URD
Director ne film Banai,film,ENG
Director ne film Banai,Banai,URD
Photo kyun lagayi ha poster par,Photo,ENG
Photo kyun lagayi ha poster par,kyun,URD
Photo kyun lagayi ha poster par,lagayi,URD
Photo kyun lagayi ha poster par,ha,URD
Photo kyun lagayi ha poster par,poster,ENG
Photo kyun lagayi ha poster par,par,URD
Ahmed ki likhi hui stories,Ahmed,ENG
Ahmed ki likhi hui stories,ki,URD
Ahmed ki likhi hui stories,likhi,URD
Ahmed ki likhi hui stories,hui,URD
Ahmed ki likhi hui stories,stories,ENG
I was laughing to hear maa g,I,ENG
I was laughing to hear maa g,was,ENG
I was laughing to hear maa g,laughing,ENG
I was laughing to hear maa g,to,ENG
I was laughing to hear maa g,hear,ENG
I was laughing to hear maa g,maa,URD
I was laughing to hear maa g,g,URD
Acha part about Umera Ahmed writing Islam,Acha,URD
Acha part about Umera Ahmed writing Islam,part,ENG
Acha part about Umera Ahmed writing Islam,about,ENG
Acha part about Umera Ahmed writing Islam,Umera,ENG
Acha part about Umera Ahmed writing Islam,Ahmed,ENG
Acha part about Umera Ahmed writing Islam,writing,ENG
Acha part about Umera Ahmed writing Islam,Islam,ENG
Monday Tuesday ko begum,Monday,ENG
Monday Tuesday ko begum,Tuesday,ENG
Monday Tuesday ko begum,ko,URD
Monday Tuesday ko begum,begum,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,Taya,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,jaan,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,and,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,tayi,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,jaan,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,of,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,Anas,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,from,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,parallel,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,universe,ENG
Taya jaan and tayi jaan of Anas from parallel universe yar ye,yar,URD
Taya jaan and tayi jaan of Anas from parallel universe yar ye,ye,URD
Kal office jana hai but mood nahi hai,Kal,URD
Kal office jana hai but mood nahi hai,office,ENG
Kal office jana hai but mood nahi hai,jana,URD
Kal office jana hai but mood nahi hai,hai,URD
Kal office jana hai but mood nahi hai,but,ENG
Kal office jana hai but mood nahi hai,mood,ENG
Kal office jana hai but mood nahi hai,nahi,URD
Kal office jana hai but mood nahi hai,hai,URD
Assignment complete hogayi but review baqi hai,Assignment,ENG
Assignment complete hogayi but review baqi hai,complete,ENG
Assignment complete hogayi but review baqi hai,hogayi,URD
Assignment complete hogayi but review baqi hai,but,ENG
Assignment complete hogayi but review baqi hai,review,ENG
Assignment complete hogayi but review baqi hai,baqi,URD
Assignment complete hogayi but review baqi hai,hai,URD
Mera laptop hang horha hai again,Mera,URD
Mera laptop hang horha hai again,laptop,ENG
Mera laptop hang horha hai again,hang,ENG
Mera laptop hang horha hai again,horha,URD
Mera laptop hang horha hai again,hai,URD
Mera laptop hang horha hai again,again,ENG
Yaar meeting cancel hogayi,Yaar,URD
Yaar meeting cancel hogayi,meeting,ENG
Yaar meeting cancel hogayi,cancel,ENG
Yaar meeting cancel hogayi,hogayi,URD
Kal office ka schedule change hogaya,Kal,URD
Kal office ka schedule change hogaya,office,ENG
Kal office ka schedule change hogaya,ka,URD
Kal office ka schedule change hogaya,schedule,ENG
Kal office ka schedule change hogaya,change,ENG
Kal office ka schedule change hogaya,hogaya,URD
Presentation bohot achi thi honestly,Presentation,ENG
Presentation bohot achi thi honestly,bohot,URD
Presentation bohot achi thi honestly,achi,URD
Presentation bohot achi thi honestly,thi,URD
Presentation bohot achi thi honestly,honestly,ENG
Class attend karlo warna attendance short hojayegi,Class,ENG
Class attend karlo warna attendance short hojayegi,attend,ENG
Class attend karlo warna attendance short hojayegi,karlo,URD
Class attend karlo warna attendance short hojayegi,warna,URD
Class attend karlo warna attendance short hojayegi,attendance,ENG
Class attend karlo warna attendance short hojayegi,short,ENG
Class attend karlo warna attendance short hojayegi,hojayegi,URD
Mujhe email check karni hai,Mujhe,URD
Mujhe email check karni hai,email,ENG
Mujhe email check karni hai,check,ENG
Mujhe email check karni hai,karni,URD
Mujhe email check karni hai,hai,URD
Teacher ne assignment upload kardiya,Teacher,ENG
Teacher ne assignment upload kardiya,ne,URD
Teacher ne assignment upload kardiya,assignment,ENG
Teacher ne assignment upload kardiya,upload,ENG
Teacher ne assignment upload kardiya,kardiya,URD
Internet bohot slow chal raha hai,Internet,ENG
Internet bohot slow chal raha hai,bohot,URD
Internet bohot slow chal raha hai,slow,ENG
Internet bohot slow chal raha hai,chal,URD
Internet bohot slow chal raha hai,raha,URD
Internet bohot slow chal raha hai,hai,URD
Result kab announce hoga,Result,ENG
Result kab announce hoga,kab,URD
Result kab announce hoga,announce,ENG
Result kab announce hoga,hoga,URD
Aaj weather bohot amazing hai,Aaj,URD
Aaj weather bohot amazing hai,weather,ENG
Aaj weather bohot amazing hai,bohot,URD
Aaj weather bohot amazing hai,amazing,ENG
Aaj weather bohot amazing hai,hai,URD
Meri file upload hogayi finally,Meri,URD
Meri file upload hogayi finally,file,ENG
Meri file upload hogayi finally,upload,ENG
Meri file upload hogayi finally,hogayi,URD
Meri file upload hogayi finally,finally,ENG
Please mujhe notes send kar do,Please,ENG
Please mujhe notes send kar do,mujhe,URD
Please mujhe notes send kar do,notes,ENG
Please mujhe notes send kar do,send,ENG
Please mujhe notes send kar do,kar,URD
Please mujhe notes send kar do,do,URD
Kal quiz hai prepare rehna,Kal,URD
Kal quiz hai prepare rehna,quiz,ENG
Kal quiz hai prepare rehna,hai,URD
Kal quiz hai prepare rehna,prepare,ENG
Kal quiz hai prepare rehna,rehna,URD
Project deadline bohot close hai,Project,ENG
Project deadline bohot close hai,deadline,ENG
Project deadline bohot close hai,bohot,URD
Project deadline bohot close hai,close,ENG
Project deadline bohot close hai,hai,URD
Mujhe Zoom meeting join karni hai,Mujhe,URD
Mujhe Zoom meeting join karni hai,Zoom,ENG
Mujhe Zoom meeting join karni hai,meeting,ENG
Mujhe Zoom meeting join karni hai,join,ENG
Mujhe Zoom meeting join karni hai,karni,URD
Mujhe Zoom meeting join karni hai,hai,URD
Ye idea really acha hai,Ye,URD
Ye idea really acha hai,idea,ENG
Ye idea really acha hai,really,ENG
Ye idea really acha hai,acha,URD
Ye idea really acha hai,hai,URD
Aaj office mein workload zyada tha,Aaj,URD
Aaj office mein workload zyada tha,office,ENG
Aaj office mein workload zyada tha,mein,URD
Aaj office mein workload zyada tha,workload,ENG
Aaj office mein workload zyada tha,zyada,URD
Aaj office mein workload zyada tha,tha,URD
Laptop ki battery low hai,Laptop,ENG
Laptop ki battery low hai,ki,URD
Laptop ki battery low hai,battery,ENG
Laptop ki battery low hai,low,ENG
Laptop ki battery low hai,hai,URD
Yaar coffee peene chalte hain,Yaar,URD
Yaar coffee peene chalte hain,coffee,ENG
Yaar coffee peene chalte hain,peene,URD
Yaar coffee peene chalte hain,chalte,URD
Yaar coffee peene chalte hain,hain,URD
Kal online class bohot interesting thi,Kal,URD
Kal online class bohot interesting thi,online,ENG
Kal online class bohot interesting thi,class,ENG
Kal online class bohot interesting thi,bohot,URD
Kal online class bohot interesting thi,interesting,ENG
Kal online class bohot interesting thi,thi,URD
Mujhe assignment ki deadline yaad nahi thi,Mujhe,URD
Mujhe assignment ki deadline yaad nahi thi,assignment,ENG
Mujhe assignment ki deadline yaad nahi thi,ki,URD
Mujhe assignment ki deadline yaad nahi thi,deadline,ENG
Mujhe assignment ki deadline yaad nahi thi,yaad,URD
Mujhe assignment ki deadline yaad nahi thi,nahi,URD
Mujhe assignment ki deadline yaad nahi thi,thi,URD
Teacher ne feedback send kar diya,Teacher,ENG
Teacher ne feedback send kar diya,ne,URD
Teacher ne feedback send kar diya,feedback,ENG
Teacher ne feedback send kar diya,send,ENG
Teacher ne feedback send kar diya,kar,URD
Teacher ne feedback send kar diya,diya,URD
Aaj meeting ka time change hogaya,Aaj,URD
Aaj meeting ka time change hogaya,meeting,ENG
Aaj meeting ka time change hogaya,ka,URD
Aaj meeting ka time change hogaya,time,ENG
Aaj meeting ka time change hogaya,change,ENG
Aaj meeting ka time change hogaya,hogaya,URD
Presentation ke slides ready hain,Presentation,ENG
Presentation ke slides ready hain,ke,URD
Presentation ke slides ready hain,slides,ENG
Presentation ke slides ready hain,ready,ENG
Presentation ke slides ready hain,hain,URD
Internet connection phir disconnect hogaya,Internet,ENG
Internet connection phir disconnect hogaya,connection,ENG
Internet connection phir disconnect hogaya,phir,URD
Internet connection phir disconnect hogaya,disconnect,ENG
Internet connection phir disconnect hogaya,hogaya,URD
Yaar movie ka ending bohot emotional tha,Yaar,URD
Yaar movie ka ending bohot emotional tha,movie,ENG
Yaar movie ka ending bohot emotional tha,ka,URD
Yaar movie ka ending bohot emotional tha,ending,ENG
Yaar movie ka ending bohot emotional tha,bohot,URD
Yaar movie ka ending bohot emotional tha,emotional,ENG
Yaar movie ka ending bohot emotional tha,tha,URD
Meri coding practice improve horhi hai,Meri,URD
Meri coding practice improve horhi hai,coding,ENG
Meri coding practice improve horhi hai,practice,ENG
Meri coding practice improve horhi hai,improve,ENG
Meri coding practice improve horhi hai,horhi,URD
Meri coding practice improve horhi hai,hai,URD
Please document upload kar dena,Please,ENG
Please document upload kar dena,document,ENG
Please document upload kar dena,upload,ENG
Please document upload kar dena,kar,URD
Please document upload kar dena,dena,URD
Exam ke baad picnic plan karte hain,Exam,ENG
Exam ke baad picnic plan karte hain,ke,URD
Exam ke baad picnic plan karte hain,baad,URD
Exam ke baad picnic plan karte hain,picnic,ENG
Exam ke baad picnic plan karte hain,plan,ENG
Exam ke baad picnic plan karte hain,karte,URD
Exam ke baad picnic plan karte hain,hain,URD
Kal client meeting bohot productive thi,Kal,URD
Kal client meeting bohot productive thi,client,ENG
Kal client meeting bohot productive thi,meeting,ENG
Kal client meeting bohot productive thi,bohot,URD
Kal client meeting bohot productive thi,productive,ENG
Kal client meeting bohot productive thi,thi,URD
Mujhe email ka reply abhi dena hai,Mujhe,URD
Mujhe email ka reply abhi dena hai,email,ENG
Mujhe email ka reply abhi dena hai,ka,URD
Mujhe email ka reply abhi dena hai,reply,ENG
Mujhe email ka reply abhi dena hai,abhi,URD
Mujhe email ka reply abhi dena hai,dena,URD
Mujhe email ka reply abhi dena hai,hai,URD
Aaj lecture bohot informative tha,Aaj,URD
Aaj lecture bohot informative tha,lecture,ENG
Aaj lecture bohot informative tha,bohot,URD
Aaj lecture bohot informative tha,informative,ENG
Aaj lecture bohot informative tha,tha,URD
Mera internet package expire hogaya,Mera,URD
Mera internet package expire hogaya,internet,ENG
Mera internet package expire hogaya,package,ENG
Mera internet package expire hogaya,expire,ENG
Mera internet package expire hogaya,hogaya,URD
Assignment submit karne ka last chance hai,Assignment,ENG
Assignment submit karne ka last chance hai,submit,ENG
Assignment submit karne ka last chance hai,karne,URD
Assignment submit karne ka last chance hai,ka,URD
Assignment submit karne ka last chance hai,last,ENG
Assignment submit karne ka last chance hai,chance,ENG
Assignment submit karne ka last chance hai,hai,URD
Please camera on kar lo,Please,ENG
Please camera on kar lo,camera,ENG
Please camera on kar lo,on,ENG
Please camera on kar lo,kar,URD
Please camera on kar lo,lo,URD
Mujhe new project bohot pasand aya,Mujhe,URD
Mujhe new project bohot pasand aya,new,ENG
Mujhe new project bohot pasand aya,project,ENG
Mujhe new project bohot pasand aya,bohot,URD
Mujhe new project bohot pasand aya,pasand,URD
Mujhe new project bohot pasand aya,aya,URD
Ye software update karna zaroori hai,Ye,URD
Ye software update karna zaroori hai,software,ENG
Ye software update karna zaroori hai,update,ENG
Ye software update karna zaroori hai,karna,URD
Ye software update karna zaroori hai,zaroori,URD
Ye software update karna zaroori hai,hai,URD
Office se call ayi thi,Office,ENG
Office se call ayi thi,se,URD
Office se call ayi thi,call,ENG
Office se call ayi thi,ayi,URD
Office se call ayi thi,thi,URD
Weekend par shopping ka plan hai,Weekend,ENG
Weekend par shopping ka plan hai,par,URD
Weekend par shopping ka plan hai,shopping,ENG
Weekend par shopping ka plan hai,ka,URD
Weekend par shopping ka plan hai,plan,ENG
Weekend par shopping ka plan hai,hai,URD
Mera assignment finally complete hogaya,Mera,URD
Mera assignment finally complete hogaya,assignment,ENG
Mera assignment finally complete hogaya,finally,ENG
Mera assignment finally complete hogaya,complete,ENG
Mera assignment finally complete hogaya,hogaya,URD
Please attendance sheet upload kar do,Please,ENG
Please attendance sheet upload kar do,attendance,ENG
Please attendance sheet upload kar do,sheet,ENG
Please attendance sheet upload kar do,upload,ENG
Please attendance sheet upload kar do,kar,URD
Please attendance sheet upload kar do,do,URD
Kal interview ka result ayega,Kal,URD
Kal interview ka result ayega,interview,ENG
Kal interview ka result ayega,ka,URD
Kal interview ka result ayega,result,ENG
Kal interview ka result ayega,ayega,URD
Yeh mobile update ke baad fast hogaya,Yeh,URD
Yeh mobile update ke baad fast hogaya,mobile,ENG
Yeh mobile update ke baad fast hogaya,update,ENG
Yeh mobile update ke baad fast hogaya,ke,URD
Yeh mobile update ke baad fast hogaya,baad,URD
Yeh mobile update ke baad fast hogaya,fast,ENG
Yeh mobile update ke baad fast hogaya,hogaya,URD
Aaj Zoom class cancel hogayi,Aaj,URD
Aaj Zoom class cancel hogayi,Zoom,ENG
Aaj Zoom class cancel hogayi,class,ENG
Aaj Zoom class cancel hogayi,cancel,ENG
Aaj Zoom class cancel hogayi,hogayi,URD
Teacher ne marks portal par upload kiye,Teacher,ENG
Teacher ne marks portal par upload kiye,ne,URD
Teacher ne marks portal par upload kiye,marks,ENG
Teacher ne marks portal par upload kiye,portal,ENG
Teacher ne marks portal par upload kiye,par,URD
Teacher ne marks portal par upload kiye,upload,ENG
Teacher ne marks portal par upload kiye,kiye,URD
Mujhe assignment print karwana hai,Mujhe,URD
Mujhe assignment print karwana hai,assignment,ENG
Mujhe assignment print karwana hai,print,ENG
Mujhe assignment print karwana hai,karwana,URD
Mujhe assignment print karwana hai,hai,URD
Office ka network down tha,Office,ENG
Office ka network down tha,ka,URD
Office ka network down tha,network,ENG
Office ka network down tha,down,ENG
Office ka network down tha,tha,URD
Yaar WhatsApp group mute kar do,Yaar,URD
Yaar WhatsApp group mute kar do,WhatsApp,ENG
Yaar WhatsApp group mute kar do,group,ENG
Yaar WhatsApp group mute kar do,mute,ENG
Yaar WhatsApp group mute kar do,kar,URD
Yaar WhatsApp group mute kar do,do,URD
Meri presentation sab ko pasand ayi,Meri,URD
Meri presentation sab ko pasand ayi,presentation,ENG
Meri presentation sab ko pasand ayi,sab,URD
Meri presentation sab ko pasand ayi,ko,URD
Meri presentation sab ko pasand ayi,pasand,URD
Meri presentation sab ko pasand ayi,ayi,URD
Kal workshop attend karni hai,Kal,URD
Kal workshop attend karni hai,workshop,ENG
Kal workshop attend karni hai,attend,ENG
Kal workshop attend karni hai,karni,URD
Kal workshop attend karni hai,hai,URD
Mera phone silent mode par tha,Mera,URD
Mera phone silent mode par tha,phone,ENG
Mera phone silent mode par tha,silent,ENG
Mera phone silent mode par tha,mode,ENG
Mera phone silent mode par tha,par,URD
Mera phone silent mode par tha,tha,URD
Please file download kar lo,Please,ENG
Please file download kar lo,file,ENG
Please file download kar lo,download,ENG
Please file download kar lo,kar,URD
Please file download kar lo,lo,URD
Yeh project bohot interesting lag raha hai,Yeh,URD
Yeh project bohot interesting lag raha hai,project,ENG
Yeh project bohot interesting lag raha hai,bohot,URD
Yeh project bohot interesting lag raha hai,interesting,ENG
Yeh project bohot interesting lag raha hai,lag,URD
Yeh project bohot interesting lag raha hai,raha,URD
Yeh project bohot interesting lag raha hai,hai,URD
Manager ne meeting postpone kar di,Manager,ENG
Manager ne meeting postpone kar di,ne,URD
Manager ne meeting postpone kar di,meeting,ENG
Manager ne meeting postpone kar di,postpone,ENG
Manager ne meeting postpone kar di,kar,URD
Manager ne meeting postpone kar di,di,URD
Mujhe login password yaad nahi,Mujhe,URD
Mujhe login password yaad nahi,login,ENG
Mujhe login password yaad nahi,password,ENG
Mujhe login password yaad nahi,yaad,URD
Mujhe login password yaad nahi,nahi,URD
Assignment ka feedback mil gaya,Assignment,ENG
Assignment ka feedback mil gaya,ka,URD
Assignment ka feedback mil gaya,feedback,ENG
Assignment ka feedback mil gaya,mil,URD
Assignment ka feedback mil gaya,gaya,URD
Aaj cafeteria mein lunch bohot acha tha,Aaj,URD
Aaj cafeteria mein lunch bohot acha tha,cafeteria,ENG
Aaj cafeteria mein lunch bohot acha tha,mein,URD
Aaj cafeteria mein lunch bohot acha tha,lunch,ENG
Aaj cafeteria mein lunch bohot acha tha,bohot,URD
Aaj cafeteria mein lunch bohot acha tha,acha,URD
Aaj cafeteria mein lunch bohot acha tha,tha,URD
Internet speed aj bohot slow hai,Internet,ENG
Internet speed aj bohot slow hai,speed,ENG
Internet speed aj bohot slow hai,aj,URD
Internet speed aj bohot slow hai,bohot,URD
Internet speed aj bohot slow hai,slow,ENG
Internet speed aj bohot slow hai,hai,URD
Kal university ka event attend karenge,Kal,URD
Kal university ka event attend karenge,university,ENG
Kal university ka event attend karenge,ka,URD
Kal university ka event attend karenge,event,ENG
Kal university ka event attend karenge,attend,ENG
Kal university ka event attend karenge,karenge,URD
Kal seminar attend karna zaroori hai,Kal,URD
Kal seminar attend karna zaroori hai,seminar,ENG
Kal seminar attend karna zaroori hai,attend,ENG
Kal seminar attend karna zaroori hai,karna,URD
Kal seminar attend karna zaroori hai,zaroori,URD
Kal seminar attend karna zaroori hai,hai,URD
Mujhe certificate download karna hai,Mujhe,URD
Mujhe certificate download karna hai,certificate,ENG
Mujhe certificate download karna hai,download,ENG
Mujhe certificate download karna hai,karna,URD
Mujhe certificate download karna hai,hai,URD
Yaar system restart kar lo,Yaar,URD
Yaar system restart kar lo,system,ENG
Yaar system restart kar lo,restart,ENG
Yaar system restart kar lo,kar,URD
Yaar system restart kar lo,lo,URD
Teacher ne online quiz announce ki,Teacher,ENG
Teacher ne online quiz announce ki,ne,URD
Teacher ne online quiz announce ki,online,ENG
Teacher ne online quiz announce ki,quiz,ENG
Teacher ne online quiz announce ki,announce,ENG
